drug,protein,proteinname
5350,896,CCND3
2519,898,CCNE1
445154,898,CCNE1
445154,9134,CCNE2
5350,9134,CCNE2
65064,900,CCNG1
65064,901,CCNG2
2519,902,CCNH
5350,79616,CCNJL
65064,57018,CCNL1
2519,57018,CCNL1
445154,10309,CCNO
445154,904,CCNT1
445154,905,CCNT2
2519,905,CCNT2
65064,905,CCNT2
2519,219771,CCNY
65064,219771,CCNY
2519,151195,CCNYL1
445154,9738,CCP110
5350,9236,CCPG1
445154,9236,CCPG1
5350,729230,CCR2
445154,729230,CCR2
5350,1233,CCR4
65064,54462,CCSER2
2519,54462,CCSER2
2519,10576,CCT2
445154,10576,CCT2
6917864,10576,CCT2
5350,10576,CCT2
2519,7203,CCT3
2519,10575,CCT4
2519,22948,CCT5
445154,22948,CCT5
65064,908,CCT6A
2519,908,CCT6A
445154,929,CD14
5350,929,CD14
65064,929,CD14
445154,30835,CD209
445154,80381,CD276
445154,23607,CD2AP
65064,23607,CD2AP
2519,23607,CD2AP
2519,10421,CD2BP2
5350,146722,CD300LF
445154,146894,CD300LG
445154,948,CD36
445154,916,CD3E
445154,4179,CD46
445154,961,CD47
65064,965,CD58
5350,965,CD58
445154,967,CD63
445154,969,CD69
5350,970,CD70
5350,972,CD74
2519,972,CD74
445154,941,CD80
5350,9308,CD83
5350,8832,CD84
445154,942,CD86
2519,4267,CD99
5350,978,CDA
2519,146059,CDAN1
2519,8881,CDC16
445154,8697,CDC23
65064,993,CDC25A
445154,993,CDC25A
2519,994,CDC25B
445154,994,CDC25B
2519,995,CDC25C
445154,995,CDC25C
65064,995,CDC25C
65064,996,CDC27
445154,996,CDC27
2519,996,CDC27
2519,55664,CDC37L1
445154,51362,CDC40
445154,998,CDC42
65064,998,CDC42
2519,8476,CDC42BPA
445154,9578,CDC42BPB
2519,55561,CDC42BPG
5350,55561,CDC42BPG
65064,10602,CDC42EP3
2519,23580,CDC42EP4
65064,56990,CDC42SE2
2519,56990,CDC42SE2
445154,8318,CDC45
445154,988,CDC5L
2519,988,CDC5L
445154,8317,CDC7
65064,79577,CDC73
2519,157313,CDCA2
445154,157313,CDCA2
445154,55536,CDCA7L
5350,1008,CDH10
445154,1010,CDH12
445154,1013,CDH15
445154,1014,CDH16
445154,64405,CDH22
445154,64072,CDH23
5350,1003,CDH5
445154,1003,CDH5
445154,1004,CDH6
445154,54825,CDHR2
445154,29965,CDIP1
2519,983,CDK1
639665,983,CDK1
445154,983,CDK1
5350,983,CDK1
445154,8558,CDK10
445154,51755,CDK12
2519,51755,CDK12
2519,8621,CDK13
2519,5127,CDK16
2519,5128,CDK17
2519,5129,CDK18
5350,5129,CDK18
65064,23097,CDK19
445154,1017,CDK2
1548943,1017,CDK2
2519,1017,CDK2
445154,23552,CDK20
445154,10263,CDK2AP2
6433206,8851,CDK5R1
65064,8851,CDK5R1
445154,8941,CDK5R2
445154,55755,CDK5RAP2
65064,55755,CDK5RAP2
2519,55755,CDK5RAP2
445154,80279,CDK5RAP3
445154,1021,CDK6
65064,1021,CDK6
2519,1021,CDK6
2519,1022,CDK7
445154,1024,CDK8
65064,6792,CDKL5
445154,6792,CDKL5
639665,1026,CDKN1A
5281672,1026,CDKN1A
65064,1026,CDKN1A
6451084,1026,CDKN1A
5350,1026,CDKN1A
2519,1026,CDKN1A
7054,1026,CDKN1A
1548943,1026,CDKN1A
445154,1026,CDKN1A
1548943,1027,CDKN1B
445154,1027,CDKN1B
65064,1027,CDKN1B
2519,55602,CDKN2AIP
65064,55602,CDKN2AIP
5350,55602,CDKN2AIP
5350,91368,CDKN2AIPNL
5281672,1031,CDKN2C
65064,50937,CDON
2519,1039,CDR2
445154,1039,CDR2
445154,1041,CDSN
445154,81620,CDT1
2519,81620,CDT1
2519,55573,CDV3
445154,55573,CDV3
2519,9425,CDYL
2519,634,CEACAM1
445154,634,CEACAM1
6433206,1051,CEBPB
2519,1051,CEBPB
1548943,1051,CEBPB
65064,1052,CEBPD
445154,1052,CEBPD
5350,1052,CEBPD
5350,1053,CEBPE
445154,1056,CEL
445154,11189,CELF3
445154,1952,CELSR2
445154,1951,CELSR3
445154,51286,CEND1
65064,1058,CENPA
445154,1058,CENPA
65064,1062,CENPE
2519,1062,CENPE
445154,1062,CENPE
2519,1063,CENPF
445154,1063,CENPF
445154,64946,CENPH
5350,55835,CENPJ
445154,91687,CENPL
445154,79019,CENPM
445154,55839,CENPN
2519,79172,CENPO
445154,79172,CENPO
445154,79682,CENPU
2519,79682,CENPU
445154,387103,CENPW
65064,201134,CEP112
445154,153241,CEP120
65064,145508,CEP128
2519,145508,CEP128
445154,145508,CEP128
2519,22994,CEP131
445154,22832,CEP162
2519,22897,CEP164
2519,283638,CEP170B
2519,55125,CEP192
2519,11190,CEP250
445154,80184,CEP290
65064,80184,CEP290
2519,9857,CEP350
445154,9857,CEP350
5350,55165,CEP55
445154,55165,CEP55
445154,9702,CEP57
2519,23177,CEP68
65064,80321,CEP70
5350,80321,CEP70
445154,84131,CEP78
2519,84131,CEP78
445154,51134,CEP83
65064,51134,CEP83
445154,387119,CEP85L
2519,84902,CEP89
2519,90799,CEP95
445154,90799,CEP95
65064,10390,CEPT1
445154,64781,CERK
445154,10715,CERS1
445154,91012,CERS5
445154,253782,CERS6
65064,1070,CETN3
445154,149465,CFAP57
2519,57587,CFAP97
445154,1675,CFD
1548943,1072,CFL1
2519,1072,CFL1
445154,1072,CFL1
5281672,1072,CFL1
2519,1073,CFL2
1548943,8837,CFLAR
445154,8837,CFLAR
65064,8837,CFLAR
5350,5199,CFP
1548943,1080,CFTR
445154,1080,CFTR
639665,1080,CFTR
445154,8545,CGGBP1
2519,84952,CGNL1
65064,79094,CHAC1
445154,494143,CHAC2
65064,494143,CHAC2
2519,10036,CHAF1A
445154,10036,CHAF1A
2519,283489,CHAMP1
445154,1103,CHAT
65064,118487,CHCHD1
445154,118487,CHCHD1
445154,1105,CHD1
2519,1105,CHD1
445154,9557,CHD1L
2519,9557,CHD1L
2519,1106,CHD2
2519,1107,CHD3
2519,1108,CHD4
2519,84181,CHD6
65064,84181,CHD6
2519,55636,CHD7
65064,55636,CHD7
2519,57680,CHD8
2519,1111,CHEK1
445154,1111,CHEK1
6917864,1111,CHEK1
2519,10523,CHERP
445154,55743,CHFR
445154,1113,CHGA
445154,1114,CHGB
445154,1116,CHI3L1
445154,1122,CHML
2519,25978,CHMP2B
445154,29082,CHMP4A
2519,51510,CHMP5
445154,51510,CHMP5
2519,91782,CHMP7
5350,26973,CHORDC1
2519,26973,CHORDC1
445154,26973,CHORDC1
445154,25884,CHRDL2
445154,1136,CHRNA3
445154,1137,CHRNA4
5350,1140,CHRNB1
445154,1140,CHRNB1
445154,1144,CHRND
445154,1146,CHRNG
445154,113189,CHST14
445154,10164,CHST4
445154,1147,CHUK
2519,57019,CIAPIN1
2519,23152,CIC
445154,23152,CIC
445154,8483,CILP
445154,148113,CILP2
5350,148113,CILP2
445154,85457,CIPC
65064,55847,CISD1
445154,11113,CIT
5350,10370,CITED2
65064,25792,CIZ1
2519,26586,CKAP2
445154,26586,CKAP2
445154,150468,CKAP2L
65064,10970,CKAP4
65064,9793,CKAP5
445154,9793,CKAP5
5350,1152,CKB
2519,1152,CKB
445154,1160,CKMT2
445154,1164,CKS2
5350,1164,CKS2
65064,1164,CKS2
65064,23332,CLASP1
2519,23332,CLASP1
445154,23122,CLASP2
2519,23122,CLASP2
445154,1179,CLCA1
2519,23155,CLCC1
445154,23155,CLCC1
445154,1184,CLCN5
445154,5010,CLDN11
2519,5010,CLDN11
2519,9069,CLDN12
445154,24146,CLDN15
445154,149461,CLDN19
445154,137075,CLDN23
2519,137075,CLDN23
2519,1365,CLDN3
2519,9074,CLDN6
5350,1366,CLDN7
65064,1366,CLDN7
445154,6320,CLEC11A
2519,23274,CLEC16A
5350,9976,CLEC2B
445154,64581,CLEC7A
5350,1047,CLGN
2519,1192,CLIC1
5350,9022,CLIC3
2519,9685,CLINT1
2519,6249,CLIP1
2519,7461,CLIP2
65064,1195,CLK1
2519,1196,CLK2
445154,1196,CLK2
2519,1198,CLK3
65064,1198,CLK3
445154,57396,CLK4
2519,1207,CLNS1A
65064,10978,CLP1
2519,10978,CLP1
445154,10845,CLPX
445154,119467,CLRN3
2519,63967,CLSPN
2519,1213,CLTC
445154,1213,CLTC
65064,8218,CLTCL1
445154,1191,CLU
2519,23277,CLUH
445154,171425,CLYBL
65064,55907,CMAS
2519,134147,CMBL
445154,134147,CMBL
445154,56942,CMC2
2519,80790,CMIP
65064,80790,CMIP
445154,84319,CMSS1
2519,146223,CMTM4
2519,54918,CMTM6
2519,23070,CMTR1
445154,23070,CMTR1
445154,84735,CNDP1
445154,55748,CNDP2
2519,55748,CNDP2
5350,1258,CNGB1
2519,10256,CNKSR1
65064,22866,CNKSR2
5350,1266,CNN3
2519,1266,CNN3
2519,54805,CNNM2
2519,26505,CNNM3
2519,23019,CNOT1
445154,25904,CNOT10
65064,55571,CNOT11
2519,4848,CNOT2
65064,4848,CNOT2
445154,57472,CNOT6
65064,246175,CNOT6L
1548943,1268,CNR1
1548943,1269,CNR2
445154,163882,CNST
445154,1272,CNTN1
445154,53942,CNTN5
5350,8506,CNTNAP1
65064,11064,CNTRL
445154,11064,CNTRL
65064,28958,COA3
65064,388753,COA6
445154,388753,COA6
5350,388753,COA6
445154,65260,COA7
2519,23242,COBL
445154,23242,COBL
2519,22837,COBLL1
5350,22837,COBLL1
445154,22796,COG2
65064,22796,COG2
445154,83548,COG3
445154,25839,COG4
2519,25839,COG4
445154,57511,COG6
65064,57511,COG6
65064,91949,COG7
445154,91949,COG7
2519,91949,COG7
2519,8161,COIL
65064,8161,COIL
445154,1306,COL15A1
1548943,80781,COL18A1
445154,80781,COL18A1
445154,1278,COL1A2
445154,136227,COL26A1
445154,1280,COL2A1
5833,1281,COL3A1
445154,1281,COL3A1
445154,1288,COL4A6
5350,1288,COL4A6
5350,1299,COL9A3
445154,1299,COL9A3
445154,78989,COLEC11
445154,51397,COMMD10
445154,23412,COMMD3
445154,1312,COMT
5281672,1312,COMT
5350,1312,COMT
2519,1314,COPA
445154,1315,COPB1
2519,9276,COPB2
445154,9276,COPB2
445154,11316,COPE
2519,11316,COPE
2519,22820,COPG1
445154,9318,COPS2
445154,10987,COPS5
2519,50813,COPS7A
2519,64708,COPS7B
65064,84274,COQ5
65064,51004,COQ6
445154,10229,COQ7
65064,57017,COQ9
445154,57175,CORO1B
445154,23603,CORO1C
445154,7464,CORO2A
5350,84940,CORO6
65064,23406,COTL1
445154,1355,COX15
445154,1327,COX4I1
1548943,9377,COX5A
5281672,1329,COX5B
65064,1345,COX6C
445154,1345,COX6C
445154,1349,COX7B
445154,1350,COX7C
2519,1362,CPD
445154,1362,CPD
5350,1362,CPD
5350,79974,CPED1
445154,10814,CPLX2
445154,1369,CPN1
445154,57699,CPNE5
445154,27132,CPNE7
445154,144402,CPNE8
65064,144402,CPNE8
445154,55313,CPPED1
5350,1373,CPS1
2519,53981,CPSF2
2519,51692,CPSF3
65064,51692,CPSF3
2519,10898,CPSF4
2519,11052,CPSF6
2519,79869,CPSF7
445154,79869,CPSF7
1548943,1374,CPT1A
445154,1374,CPT1A
445154,126129,CPT1C
445154,80772,CPTP
65064,80772,CPTP
445154,1382,CRABP2
5350,1382,CRABP2
445154,283229,CRACR2B
65064,8738,CRADD
445154,286204,CRB2
5350,92359,CRB3
445154,27297,CRCP
65064,1385,CREB1
639665,1385,CREB1
445154,1385,CREB1
2519,1385,CREB1
65064,90993,CREB3L1
445154,84699,CREB3L3
445154,148327,CREB3L4
5350,9586,CREB5
445154,1387,CREBBP
2519,1387,CREBBP
65064,1387,CREBBP
65064,153222,CREBRF
65064,58487,CREBZF
5350,8804,CREG1
2519,1390,CREM
445154,1394,CRHR1
445154,1395,CRHR2
445154,1396,CRIP1
2519,1397,CRIP2
5350,1397,CRIP2
445154,1397,CRIP2
2519,9419,CRIPT
5350,83716,CRISPLD2
2519,1398,CRK
445154,9244,CRLF1
445154,51340,CRNKL1
445154,49860,CRNN
65064,54677,CROT
445154,54677,CROT
6451084,1401,CRP
445154,1401,CRP
445154,55118,CRTAC1
2519,23373,CRTC1
2519,200186,CRTC2
65064,200186,CRTC2
445154,200186,CRTC2
5350,64784,CRTC3
445154,64784,CRTC3
2519,64784,CRTC3
445154,1406,CRX
65064,1407,CRY1
445154,1407,CRY1
65064,1408,CRY2
445154,1409,CRYAA
65064,1410,CRYAB
5350,1410,CRYAB
65064,1415,CRYBB2
445154,1415,CRYBB2
2519,131544,CRYBG3
445154,131544,CRYBG3
445154,1418,CRYGA
445154,1420,CRYGC
5350,1429,CRYZ
65064,9946,CRYZL1
5350,27254,CSDC2
445154,27254,CSDC2
445154,7812,CSDE1
445154,1434,CSE1L
65064,1434,CSE1L
445154,1435,CSF1
445154,1436,CSF1R
5350,1437,CSF2
65064,1437,CSF2
445154,1437,CSF2
5833,1437,CSF2
445154,55790,CSGALNACT1
445154,1443,CSH2
445154,1444,CSHL1
2519,1445,CSK
4091,64478,CSMD1
445154,1452,CSNK1A1
2519,1453,CSNK1D
2519,1454,CSNK1E
445154,53944,CSNK1G1
445154,1455,CSNK1G2
445154,255193,CSNK1G2-AS1
445154,1456,CSNK1G3
2519,1456,CSNK1G3
445154,1459,CSNK2A2
65064,1459,CSNK2A2
1548943,1460,CSNK2B
5350,1464,CSPG4
65064,1464,CSPG4
445154,10675,CSPG5
2519,79848,CSPP1
445154,81566,CSRNP2
5350,1465,CSRP1
445154,1466,CSRP2
445154,1472,CST4
2519,1477,CSTF1
445154,1478,CSTF2
2519,1478,CSTF2
2519,1479,CSTF3
445154,1486,CTBS
445154,10664,CTCF
2519,10664,CTCF
2519,9150,CTDP1
445154,51496,CTDSPL2
2519,1495,CTNNA1
445154,1495,CTNNA1
2519,1496,CTNNA2
445154,8727,CTNNAL1
2519,8727,CTNNAL1
2519,56998,CTNNBIP1
445154,56259,CTNNBL1
445154,1501,CTNND2
445154,1503,CTPS1
65064,1503,CTPS1
2519,1503,CTPS1
445154,56474,CTPS2
65064,56474,CTPS2
2519,56474,CTPS2
445154,9646,CTR9
5350,1511,CTSG
445154,1513,CTSK
5350,1514,CTSL
445154,1521,CTSW
445154,83992,CTTNBP2
445154,55917,CTTNBP2NL
2519,55917,CTTNBP2NL
2519,348180,CTU2
445154,8454,CUL1
5350,8452,CUL3
445154,8452,CUL3
2519,8451,CUL4A
445154,8451,CUL4A
2519,8450,CUL4B
445154,8065,CUL5
445154,1523,CUX1
2519,1523,CUX1
2519,54883,CWC25
445154,54883,CWC25
65064,54883,CWC25
445154,55280,CWF19L1
445154,6376,CX3CL1
2519,6376,CX3CL1
2519,1525,CXADR
5350,2919,CXCL1
65064,2919,CXCL1
445154,2919,CXCL1
65064,3627,CXCL10
445154,3627,CXCL10
445154,6387,CXCL12
445154,2920,CXCL2
5350,2920,CXCL2
445154,6372,CXCL6
445154,2833,CXCR3
445154,7852,CXCR4
5350,643,CXCR5
2519,30827,CXXC1
65064,51523,CXXC5
2519,80777,CYB5B
445154,80777,CYB5B
65064,124637,CYB5D1
445154,51706,CYB5R1
445154,51700,CYB5R2
5350,1536,CYBB
445154,1536,CYBB
2519,1537,CYC1
5281672,54205,CYCS
65064,54205,CYCS
2519,54205,CYCS
445154,54205,CYCS
7054,54205,CYCS
2519,23191,CYFIP1
445154,23191,CYFIP1
445154,114757,CYGB
65064,114757,CYGB
1794427,114757,CYGB
445154,1583,CYP11A1
445154,1586,CYP17A1
445154,1588,CYP19A1
5281672,1544,CYP1A2
2519,1544,CYP1A2
639665,1544,CYP1A2
1548943,1544,CYP1A2
5350,1544,CYP1A2
6106,1544,CYP1A2
445154,1544,CYP1A2
5833,1544,CYP1A2
445154,1593,CYP27A1
7054,1548,CYP2A6
5350,1548,CYP2A6
5281672,1548,CYP2A6
2519,1548,CYP2A6
6917864,1548,CYP2A6
445154,1562,CYP2C18
6106,1557,CYP2C19
445154,1557,CYP2C19
1548943,1557,CYP2C19
5833,1557,CYP2C19
2519,1557,CYP2C19
5281672,1557,CYP2C19
445154,1558,CYP2C8
2519,1558,CYP2C8
5833,1558,CYP2C8
6106,1559,CYP2C9
445154,1559,CYP2C9
1548943,1559,CYP2C9
2519,1559,CYP2C9
5281672,1559,CYP2C9
65064,1571,CYP2E1
2519,1571,CYP2E1
7054,1571,CYP2E1
1548943,1571,CYP2E1
5281672,1571,CYP2E1
445154,120227,CYP2R1
2519,1576,CYP3A4
6106,1576,CYP3A4
445154,1576,CYP3A4
5281672,1576,CYP3A4
65064,1576,CYP3A4
5350,1576,CYP3A4
3001662,1576,CYP3A4
1548943,1576,CYP3A4
5833,1576,CYP3A4
2519,1580,CYP4B1
445154,1580,CYP4B1
5350,57834,CYP4F11
445154,8529,CYP4F2
5350,8529,CYP4F2
65064,1595,CYP51A1
445154,1595,CYP51A1
445154,57105,CYSLTR2
445154,375791,CYSRT1
65064,9265,CYTH3
2519,23002,DAAM1
65064,23002,DAAM1
445154,1600,DAB1
2519,153090,DAB2IP
445154,168002,DACT2
445154,147906,DACT3
2519,221955,DAGLB
445154,1610,DAO
1548943,1611,DAP
65064,1612,DAPK1
445154,1612,DAPK1
2519,1613,DAPK3
65064,1613,DAPK3
5350,27071,DAPP1
65064,55157,DARS2
2519,1616,DAXX
445154,1616,DAXX
2519,26528,DAZAP1
445154,80174,DBF4B
1548943,1621,DBH
445154,1621,DBH
6917864,1621,DBH
445154,1627,DBN1
2519,1627,DBN1
2519,28988,DBNL
445154,51163,DBR1
2519,79269,DCAF10
2519,80344,DCAF11
445154,139170,DCAF12L1
2519,90379,DCAF15
445154,26094,DCAF4
2519,8816,DCAF5
2519,55827,DCAF6
445154,117159,DCD
2519,51473,DCDC2
445154,1633,DCK
2519,1633,DCK
65064,166614,DCLK2
65064,9937,DCLRE1A
445154,9937,DCLRE1A
2519,9937,DCLRE1A
445154,64858,DCLRE1B
2519,196513,DCP1B
445154,167227,DCP2
445154,149095,DCST1
445154,1639,DCTN1
2519,10540,DCTN2
2519,51164,DCTN4
445154,51164,DCTN4
2519,79077,DCTPP1
445154,55208,DCUN1D2
65064,23142,DCUN1D4
445154,84259,DCUN1D5
445154,1641,DCX
445154,51181,DCXR
445154,79016,DDA1
5350,1643,DDB2
445154,1643,DDB2
445154,1644,DDC
445154,80821,DDHD1
65064,80821,DDHD1
6433206,1649,DDIT3
65064,1649,DDIT3
445154,1649,DDIT3
1548943,1649,DDIT3
5350,1649,DDIT3
445154,54541,DDIT4
445154,4921,DDR2
2519,65992,DDRGK1
2519,1662,DDX10
445154,1662,DDX10
65064,1662,DDX10
2519,10521,DDX17
2519,8886,DDX18
2519,55308,DDX19A
445154,55308,DDX19A
2519,11218,DDX20
445154,11218,DDX20
2519,9188,DDX21
445154,9188,DDX21
445154,9416,DDX23
2519,57062,DDX24
445154,55661,DDX27
2519,1654,DDX3X
445154,1654,DDX3X
2519,51428,DDX41
2519,11325,DDX42
445154,11325,DDX42
2519,51202,DDX47
2519,1655,DDX5
2519,317781,DDX51
445154,168400,DDX53
2519,79039,DDX54
445154,79039,DDX54
2519,57696,DDX55
445154,57696,DDX55
65064,55601,DDX60
445154,55601,DDX60
2519,10522,DEAF1
445154,1670,DEFA5
445154,8560,DEGS1
445154,7913,DEK
2519,7913,DEK
2519,57706,DENND1A
445154,163259,DENND2C
65064,163259,DENND2C
65064,79961,DENND2D
65064,22898,DENND3
5350,22898,DENND3
445154,22898,DENND3
2519,10260,DENND4A
65064,10260,DENND4A
65064,55667,DENND4C
2519,55667,DENND4C
2519,160518,DENND5B
65064,201627,DENND6A
2519,201627,DENND6A
65064,8562,DENR
445154,55635,DEPDC1
5350,55635,DEPDC1
2519,9681,DEPDC5
65064,91614,DEPDC7
5350,64798,DEPTOR
445154,64798,DEPTOR
445154,51071,DERA
445154,1674,DES
6917864,1674,DES
5350,1674,DES
65064,55070,DET1
2519,1676,DFFA
445154,1676,DFFA
1548943,1676,DFFA
2519,54487,DGCR8
5350,54487,DGCR8
445154,1606,DGKA
445154,8526,DGKE
65064,160851,DGKH
445154,160851,DGKH
2519,1609,DGKQ
2519,8525,DGKZ
445154,8525,DGKZ
445154,1717,DHCR7
65064,1717,DHCR7
445154,1723,DHODH
445154,10202,DHRS2
7054,51635,DHRS7
445154,1665,DHX15
2519,8449,DHX16
2519,54505,DHX29
65064,55760,DHX32
445154,55760,DHX32
445154,56919,DHX33
445154,60625,DHX35
65064,60625,DHX35
445154,9785,DHX38
65064,90957,DHX57
445154,90957,DHX57
2519,1659,DHX8
445154,1660,DHX9
445154,56616,DIABLO
65064,56616,DIABLO
2519,1729,DIAPH1
445154,81624,DIAPH3
65064,81624,DIAPH3
2519,81624,DIAPH3
445154,23405,DICER1
2519,23405,DICER1
2519,11083,DIDO1
639665,1733,DIO1
445154,1734,DIO2
5350,1734,DIO2
639665,1734,DIO2
65064,1734,DIO2
445154,1735,DIO3
639665,1735,DIO3
65064,23181,DIP2A
2519,23181,DIP2A
65064,57609,DIP2B
2519,57609,DIP2B
445154,57609,DIP2B
445154,54769,DIRAS2
445154,22894,DIS3
445154,115752,DIS3L
65064,115752,DIS3L
2519,129563,DIS3L2
65064,85458,DIXDC1
2519,1736,DKC1
445154,1736,DKC1
2519,10395,DLC1
445154,1738,DLD
65064,1738,DLD
65064,1739,DLG1
2519,1739,DLG1
2519,9231,DLG5
445154,22839,DLGAP4
2519,22839,DLGAP4
65064,9787,DLGAP5
5350,9787,DLGAP5
2519,9787,DLGAP5
445154,9787,DLGAP5
445154,8788,DLK1
445154,65989,DLK2
65064,65989,DLK2
5350,65989,DLK2
65064,54567,DLL4
445154,54567,DLL4
445154,1745,DLX1
2519,1746,DLX2
445154,1746,DLX2
5350,1747,DLX3
445154,1747,DLX3
5350,1748,DLX4
445154,1748,DLX4
445154,1750,DLX6
2519,55929,DMAP1
65064,55929,DMAP1
445154,1755,DMBT1
445154,127343,DMBX1
2519,1756,DMD
445154,63946,DMRTC2
2519,2039,DMTN
2519,1762,DMWD
2519,1657,DMXL1
65064,1657,DMXL1
445154,1657,DMXL1
445154,23312,DMXL2
2519,23312,DMXL2
65064,23312,DMXL2
445154,1763,DNA2
65064,1763,DNA2
65064,55172,DNAAF2
2519,3301,DNAJA1
445154,10294,DNAJA2
445154,79982,DNAJB14
65064,11080,DNAJB4
5350,11080,DNAJB4
2519,10049,DNAJB6
65064,4189,DNAJB9
445154,54431,DNAJC10
2519,56521,DNAJC12
65064,23317,DNAJC13
65064,85406,DNAJC14
445154,23341,DNAJC16
2519,23341,DNAJC16
65064,131118,DNAJC19
2519,27000,DNAJC2
445154,134218,DNAJC21
65064,54943,DNAJC28
445154,5611,DNAJC3
445154,3338,DNAJC4
2519,80331,DNAJC5
445154,7266,DNAJC7
445154,22826,DNAJC8
445154,83544,DNAL1
65064,144132,DNHD1
65064,1759,DNM1
5350,10059,DNM1L
445154,10059,DNM1L
65064,10059,DNM1L
2519,1785,DNM2
65064,26052,DNM3
2519,23268,DNMBP
5350,1786,DNMT1
2519,1786,DNMT1
65064,1786,DNMT1
5281672,1786,DNMT1
445154,1786,DNMT1
2519,1788,DNMT3A
445154,1788,DNMT3A
65064,1788,DNMT3A
5350,1788,DNMT3A
445154,1789,DNMT3B
65064,1789,DNMT3B
2519,1789,DNMT3B
5350,1789,DNMT3B
65064,23549,DNPEP
65064,116092,DNTTIP1
65064,30836,DNTTIP2
2519,30836,DNTTIP2
5350,30836,DNTTIP2
445154,8448,DOC2A
65064,55619,DOCK10
65064,85440,DOCK7
2519,85440,DOCK7
5350,81704,DOCK8
445154,81704,DOCK8
65064,23348,DOCK9
2519,1796,DOK1
65064,1796,DOK1
2519,55715,DOK4
445154,55715,DOK4
5350,285489,DOK7
445154,29980,DONSON
2519,29980,DONSON
2519,84444,DOT1L
2519,5977,DPF2
2519,8813,DPM1
65064,1803,DPP4
2519,91039,DPP9
445154,147991,DPY19L3
2519,1808,DPYSL2
445154,1808,DPYSL2
2519,1810,DR1
5350,55332,DRAM1
65064,55332,DRAM1
445154,55332,DRAM1
445154,374946,DRAXIN
445154,1812,DRD1
2519,1813,DRD2
445154,1813,DRD2
65064,1813,DRD2
445154,1815,DRD4
445154,1816,DRD5
445154,29102,DROSHA
65064,29102,DROSHA
445154,79075,DSCC1
65064,79075,DSCC1
1794427,1830,DSG3
65064,1830,DSG3
445154,79980,DSN1
2519,92675,DTD1
2519,51514,DTL
2519,84062,DTNBP1
65064,84062,DTNBP1
65064,285605,DTWD2
2519,151636,DTX3L
65064,1841,DTYMK
445154,53905,DUOX1
445154,90527,DUOXA1
65064,54920,DUS2
2519,56931,DUS3L
1548943,1843,DUSP1
445154,1843,DUSP1
2519,8446,DUSP11
445154,128853,DUSP15
445154,63904,DUSP21
445154,1845,DUSP3
445154,1850,DUSP8
65064,1850,DUSP8
5350,1850,DUSP8
2519,1852,DUSP9
5350,1852,DUSP9
445154,1854,DUT
445154,1855,DVL1
2519,1856,DVL2
2519,1857,DVL3
2519,51143,DYNC1LI1
2519,1783,DYNC1LI2
445154,8655,DYNLL1
445154,83658,DYNLRB1
65064,6993,DYNLT1
445154,6990,DYNLT3
2519,1859,DYRK1A
65064,1859,DYRK1A
445154,1859,DYRK1A
445154,8445,DYRK2
445154,8444,DYRK3
445154,199221,DZIP1L
2519,9666,DZIP3
65064,9666,DZIP3
445154,1871,E2F3
5350,1871,E2F3
2519,1874,E2F4
2519,79733,E2F8
445154,79733,E2F8
445154,1877,E4F1
65064,85403,EAF1
2519,85403,EAF1
2519,55840,EAF2
65064,9166,EBAG9
2519,9166,EBAG9
445154,64641,EBF2
445154,57593,EBF4
445154,10682,EBP
445154,9427,ECEL1
445154,1891,ECH1
65064,10455,ECI2
2519,10455,ECI2
445154,128178,EDARADD
2519,23644,EDC4
445154,55741,EDEM2
65064,80267,EDEM3
445154,80267,EDEM3
445154,1906,EDN1
1548943,1906,EDN1
65064,1906,EDN1
445154,1907,EDN2
5350,1909,EDNRA
445154,26098,EDRF1
445154,8411,EEA1
2519,8411,EEA1
65064,8411,EEA1
445154,8726,EED
65064,1915,EEF1A1
2519,1915,EEF1A1
445154,1915,EEF1A1
445154,1917,EEF1A2
445154,1938,EEF2
2519,1938,EEF2
5350,29904,EEF2K
65064,29904,EEF2K
2519,29904,EEF2K
2519,80820,EEPD1
445154,84288,EFCAB2
65064,114327,EFHC1
445154,80303,EFHD1
5350,80303,EFHD1
445154,79180,EFHD2
2519,79180,EFHD2
65064,1945,EFNA4
65064,1946,EFNA5
65064,23167,EFR3A
2519,23167,EFR3A
445154,23167,EFR3A
445154,9343,EFTUD2
2519,9343,EFTUD2
445154,1960,EGR3
2519,254102,EHBP1L1
445154,254102,EHBP1L1
2519,10938,EHD1
2519,30844,EHD4
5350,26298,EHF
65064,1962,EHHADH
2519,1962,EHHADH
65064,79813,EHMT1
2519,10919,EHMT2
65064,10919,EHMT2
445154,10919,EHMT2
2519,9538,EI24
445154,9538,EI24
445154,23741,EID1
5350,493861,EID3
2519,10209,EIF1
445154,1964,EIF1AX
2519,10289,EIF1B
2519,83939,EIF2A
445154,83939,EIF2A
1548943,83939,EIF2A
2519,27102,EIF2AK1
445154,5610,EIF2AK2
2519,9451,EIF2AK3
5350,9451,EIF2AK3
445154,9451,EIF2AK3
445154,440275,EIF2AK4
65064,440275,EIF2AK4
2519,440275,EIF2AK4
445154,1967,EIF2B1
445154,8891,EIF2B3
2519,8890,EIF2B4
445154,8890,EIF2B4
445154,8893,EIF2B5
445154,1965,EIF2S1
5350,1965,EIF2S1
1548943,1965,EIF2S1
445154,8894,EIF2S2
2519,8894,EIF2S2
65064,1968,EIF2S3
445154,1968,EIF2S3
