drug,protein,proteinname
445154,207,AKT1
65064,207,AKT1
2519,207,AKT1
1548943,207,AKT1
5350,207,AKT1
2519,84335,AKT1S1
445154,84335,AKT1S1
445154,208,AKT2
639665,208,AKT2
2519,208,AKT2
2519,64400,AKTIP
65064,64400,AKTIP
445154,213,ALB
2519,213,ALB
1794427,213,ALB
1548943,213,ALB
6917864,213,ALB
65064,213,ALB
5833,213,ALB
2519,5832,ALDH18A1
445154,216,ALDH1A1
5350,216,ALDH1A1
1548943,216,ALDH1A1
2519,216,ALDH1A1
5350,217,ALDH2
445154,217,ALDH2
445154,218,ALDH3A1
445154,224,ALDH3A2
2519,224,ALDH3A2
5350,224,ALDH3A2
65064,224,ALDH3A2
445154,222,ALDH3B2
5350,8659,ALDH4A1
2519,8659,ALDH4A1
445154,8659,ALDH4A1
445154,223,ALDH9A1
2519,226,ALDOA
65064,226,ALDOA
445154,229,ALDOB
445154,230,ALDOC
2519,230,ALDOC
65064,230,ALDOC
5350,144245,ALG10B
65064,199857,ALG14
445154,85365,ALG2
445154,10195,ALG3
445154,29929,ALG6
65064,29929,ALG6
65064,79053,ALG8
445154,8846,ALKBH1
445154,221120,ALKBH3
2519,54890,ALKBH5
2519,7840,ALMS1
445154,239,ALOX12
445154,247,ALOX15B
445154,240,ALOX5
5350,241,ALOX5AP
6106,248,ALPI
5350,248,ALPI
445154,80216,ALPK1
5833,249,ALPL
639665,249,ALPL
445154,250,ALPP
5350,250,ALPP
445154,57679,ALS2
2519,57679,ALS2
2519,10189,ALYREF
445154,262,AMD1
2519,139285,AMER1
445154,267,AMFR
2519,267,AMFR
65064,268,AMH
5350,268,AMH
445154,269,AMHR2
445154,83607,AMMECR1L
2519,83607,AMMECR1L
445154,154810,AMOTL1
5350,154810,AMOTL1
2519,51421,AMOTL2
445154,280,AMY2B
65064,10393,ANAPC10
2519,29882,ANAPC2
65064,29945,ANAPC4
2519,29945,ANAPC4
2519,51433,ANAPC5
65064,51434,ANAPC7
1548943,285,ANGPT2
445154,83854,ANGPTL6
2519,287,ANK2
5350,287,ANK2
